SDp;ERp;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.007700234233648793;0.21;0.1078;0.2026;0.0751;0.077;0.04;0.1221;0.1686;0.0355;0.0723;0.099
0.007711858660880033;0.22;0.1082;0.2036;0.0796;0.0815;0.0405;0.115;0.168;0.039;0.0705;0.0942
0.007728890925063199;0.23;0.1087;0.2045;0.0841;0.0859;0.0409;0.1079;0.1675;0.0426;0.0686;0.0893
0.007751295318446512;0.24;0.1091;0.2055;0.0885;0.0904;0.0414;0.1008;0.1669;0.0461;0.0667;0.0845
0.007779025409443157;0.25;0.1095;0.2065;0.093;0.0949;0.0419;0.0937;0.1664;0.0497;0.0649;0.0796
0.0078120244817042215;0.26;0.11;0.2074;0.0975;0.0993;0.0424;0.0866;0.1658;0.0532;0.063;0.0748
0.00785022608924115;0.27;0.1104;0.2084;0.1019;0.1038;0.0428;0.0795;0.1653;0.0568;0.0611;0.07
0.007893554698162573;0.28;0.1108;0.2094;0.1064;0.1083;0.0433;0.0724;0.1647;0.0603;0.0593;0.0651
0.007941926395324693;0.29;0.1113;0.2104;0.1109;0.1127;0.0438;0.0653;0.1641;0.0639;0.0574;0.0603
0.00799524967078212;0.3;0.1117;0.2113;0.1154;0.1172;0.0442;0.0582;0.1636;0.0674;0.0556;0.0554
0.008053426150393983;0.31;0.1121;0.2123;0.1198;0.1216;0.0447;0.0511;0.163;0.071;0.0537;0.0506
0.00811635157256917;0.32;0.1125;0.2132;0.1243;0.1261;0.0452;0.044;0.1625;0.0745;0.0518;0.0457
0.008183917017581614;0.33;0.1129;0.2142;0.1288;0.1306;0.0456;0.0371;0.1619;0.0781;0.0499;0.0408
0.008256005734835346;0.34;0.1134;0.2152;0.1333;0.135;0.046;0.0298;0.1614;0.0816;0.0481;0.0361
0.008332503969685701;0.35;0.1138;0.2162;0.1377;0.1395;0.0465;0.0228;0.1608;0.0852;0.0462;0.0312
0.008413296032452238;0.36;0.1142;0.2169;0.1423;0.1441;0.047;0.0161;0.1601;0.0888;0.0442;0.0262
0.00849824316610772;0.37;0.1146;0.218;0.1467;0.1485;0.0475;0.0088;0.1597;0.0923;0.0424;0.0215
0.008587312020288965;0.38;0.1147;0.2184;0.1514;0.1533;0.0479;0.0034;0.1587;0.096;0.0402;0.016
0.008681001636127252;0.39;0.1141;0.2178;0.1566;0.1586;0.0483;0.001;0.1571;0.0998;0.0372;0.0095
0.008780137832611133;0.4;0.1129;0.2161;0.1624;0.1645;0.0483;0.0003;0.1549;0.1039;0.0334;0.0032
0.008885803455651133;0.41;0.1108;0.2125;0.1696;0.1712;0.0475;0.0001;0.1513;0.1091;0.0275;0.0005
0.009000148369740129;0.42;0.108;0.2079;0.1776;0.1782;0.0462;0.0;0.1468;0.1149;0.0202;0.0001
0.00912334938096456;0.43;0.1052;0.203;0.1858;0.1854;0.0447;0.0;0.1422;0.1208;0.0128;0.0
0.009254990162427366;0.44;0.1021;0.1978;0.1942;0.1925;0.0431;0.0;0.1373;0.1267;0.0061;0.0
0.009395248246085928;0.45;0.0981;0.1913;0.2031;0.1997;0.041;0.0001;0.1312;0.1331;0.0024;0.0001
0.009543943899926294;0.46;0.0938;0.1842;0.2123;0.2068;0.0386;0.0;0.1245;0.1397;0.0003;0.0
0.009702414691737509;0.47;0.0888;0.1761;0.2218;0.2139;0.0358;0.0;0.1169;0.1465;0.0001;0.0
0.009869850406696376;0.48;0.0838;0.168;0.2315;0.221;0.033;0.0;0.1093;0.1533;0.0001;0.0
0.010045779619317838;0.49;0.0788;0.1599;0.2411;0.2281;0.0302;0.0;0.1017;0.1602;0.0;0.0
0.01023032890615715;0.5;0.0737;0.1516;0.2507;0.2353;0.0274;0.0;0.094;0.1671;0.0003;0.0
